sku,product_name,category,location,expected_qty,counted_qty,unit_cost,count_date
SKU-5001,Ribeye Steak (kg),Beef,Clonmel,22,21,34.0,2026-05-01
SKU-5002,Ribeye Steak (kg),Beef,Clonmel,21,19,34.0,2026-06-01
SKU-5003,Ribeye Steak (kg),Beef,Clonmel,33,33,34.0,2026-07-01
SKU-5004,Ribeye Steak (kg),Beef,Naas,29,29,34.0,2026-05-01
SKU-5005,Ribeye Steak (kg),Beef,Naas,21,21,34.0,2026-06-01
SKU-5006,Ribeye Steak (kg),Beef,Naas,11,9,34.0,2026-07-01
SKU-5007,Ribeye Steak (kg),Beef,Limerick,32,33,34.0,2026-05-01
SKU-5008,Ribeye Steak (kg),Beef,Limerick,49,40,34.0,2026-06-01
SKU-5009,Ribeye Steak (kg),Beef,Limerick,31,31,34.0,2026-07-01
SKU-5010,Ribeye Steak (kg),Beef,Cornelscourt,38,37,34.0,2026-05-01
SKU-5011,Ribeye Steak (kg),Beef,Cornelscourt,26,27,34.0,2026-06-01
SKU-5012,Ribeye Steak (kg),Beef,Cornelscourt,38,38,34.0,2026-07-01
SKU-5013,Striploin Steak (kg),Beef,Cornelscourt,19,18,30.0,2026-05-01
SKU-5014,Striploin Steak (kg),Beef,Cornelscourt,52,47,30.0,2026-06-01
SKU-5015,Striploin Steak (kg),Beef,Cornelscourt,27,27,30.0,2026-07-01
SKU-5016,Striploin Steak (kg),Beef,Tralee,15,14,30.0,2026-05-01
SKU-5017,Striploin Steak (kg),Beef,Tralee,33,33,30.0,2026-06-01
SKU-5018,Striploin Steak (kg),Beef,Tralee,25,25,30.0,2026-07-01
SKU-5019,Striploin Steak (kg),Beef,Rathmines,20,20,30.0,2026-05-01
SKU-5020,Striploin Steak (kg),Beef,Rathmines,53,48,30.0,2026-06-01
SKU-5021,Striploin Steak (kg),Beef,Rathmines,47,46,30.0,2026-07-01
SKU-5022,Striploin Steak (kg),Beef,Limerick,47,47,30.0,2026-05-01
SKU-5023,Striploin Steak (kg),Beef,Limerick,39,40,30.0,2026-06-01
SKU-5024,Striploin Steak (kg),Beef,Limerick,9,10,30.0,2026-07-01
SKU-5025,Striploin Steak (kg),Beef,Naas,30,30,30.0,2026-05-01
SKU-5026,Striploin Steak (kg),Beef,Naas,32,32,30.0,2026-06-01
SKU-5027,Striploin Steak (kg),Beef,Naas,16,16,30.0,2026-07-01
SKU-5028,Striploin Steak (kg),Beef,Clonmel,47,43,30.0,2026-05-01
SKU-5029,Striploin Steak (kg),Beef,Clonmel,27,26,30.0,2026-06-01
SKU-5030,Striploin Steak (kg),Beef,Clonmel,22,21,30.0,2026-07-01
SKU-5031,Fillet Steak (kg),Beef,Limerick,41,40,48.0,2026-05-01
SKU-5032,Fillet Steak (kg),Beef,Limerick,52,52,48.0,2026-06-01
SKU-5033,Fillet Steak (kg),Beef,Limerick,10,8,48.0,2026-07-01
